country,price,points,variety,winery,province,lat,lng
Italy,90,97,Picolit,Livio Felluga,Northeastern Italy,45.97306392,13.46012344
France,330,97,Chardonnay,Louis Jadot,Burgundy,47.03813452,4.843854417
France,95,97,Pinot Noir,Louis Jadot,Burgundy,47.03813452,4.843854417
France,260,97,Pinot Noir,Louis Jadot,Burgundy,47.03813452,4.843854417
France,288,97,Pinot Noir,Louis Jadot,Burgundy,47.03813452,4.843854417
France,300,97,Pinot Noir,Louis Jadot,Burgundy,47.03813452,4.843854417
France,468,97,Pinot Noir,Louis Jadot,Burgundy,47.03813452,4.843854417
France,229,97,Champagne Blend,Louis Roederer,Champagne,49.2600713,4.03623673
France,249,97,Champagne Blend,Louis Roederer,Champagne,49.2600713,4.03623673
Italy,93,97,Sangiovese Grosso,Luce della Vite,Tuscany,43.039298,11.40836358
US,70,97,Pinot Noir,Lynmar,California,38.44277463,-122.8428991
US,100,97,Pinot Noir,Lynmar,California,38.44277463,-122.8428991
Italy,95,97,Red Blend,Marchesi Antinori,Tuscany,43.6156271,11.19246156
Italy,102,97,Red Blend,Marchesi Antinori,Tuscany,43.6156271,11.19246156
Italy,325,97,Red Blend,Marchesi Antinori,Tuscany,43.6156271,11.19246156
Italy,100,97,Sangiovese,Marchesi de' Frescobaldi,Tuscany,43.67171614,11.09578328
Italy,550,97,Merlot,Masseto,Tuscany,43.16029828,10.61057222
US,52,97,Pinot Noir,Melville,California,34.74260093,-120.1597425
US,54,97,Pinot Noir,Merry Edwards,California,38.43548475,-122.8538718
US,90,97,Cabernet Sauvignon,Napa Angel,California,38.36928997,-122.3240387
US,100,97,Red Blend,Niebaum-Coppola,California,38.45032528,-122.4331933
Portugal,80,97,Port,Niepoort,Portugal,41.14903878,-7.640096596
Portugal,95,97,Port,Niepoort,Port,41.14903878,-7.640096596
Italy,240,97,Red Blend,Ornellaia,Tuscany,43.21423701,10.61907412
US,195,97,Bordeaux-style Red Blend,Ovid,California,38.46152313,-122.3403535
US,150,97,Cabernet Sauvignon,Paul Hobbs,California,38.44058414,-122.8552125
Australia,225,97,Cabernet Sauvignon,Penfolds,South Australia,-34.44207772,139.105445
Australia,150,97,Shiraz,Penfolds,South Australia,-34.44207772,139.105445
Australia,600,97,Shiraz,Penfolds,South Australia,-34.44207772,139.105445
France,275,97,Champagne Blend,Pol Roger,Champagne,49.04067091,3.964082419
US,95,97,Cabernet Sauvignon,Quilceda Creek,Washington,47.94927689,-122.0773571
Portugal,100,97,Portuguese Red,Quinta do Vale Mẹo,Douro,41.1544,-7.1179
US,95,97,Syrah,Qup̩,California,38.5132,-122.7887
US,65,97,Chardonnay,Ramey,California,38.60411277,-122.8605049
US,65,97,Cabernet Sauvignon,Redmon,California,38.50059129,-122.455054
US,120,97,Red Blend,Ridge,California,37.35117714,-122.0178084
Germany,612,97,Riesling,Robert Weil,Rheingau,50.04160091,8.089119871
US,60,97,Chardonnay,Rochioli,California,38.53590477,-122.8651521
France,350,97,Chardonnay,Salon,Champagne,48.94659767,4.018617369
Spain,65,97,Tempranillo Blend,San Vicente,Northern Spain,42.56417081,-2.755098863
Germany,445,97,Riesling,Schloss Johannisberger,Rheingau,50.0005233,7.986676949
Germany,486,97,Riesling,Schloss Johannisberger,Rheingau,50.0005233,7.986676949
US,175,97,Champagne Blend,Schramsberg,California,38.55018599,-122.5344506
US,80,97,Pinot Noir,Sea Smoke,California,34.68159628,-120.3731923
US,85,97,Pinot Noir,Semper,California,38.5824621,-122.5596265
US,50,97,Pinot Noir,Sequana,California,38.40777745,-122.8352222
US,190,97,Cabernet Sauvignon,Shafer,California,38.42169313,-122.3247343
US,225,97,Cabernet Sauvignon,Shafer,California,38.42169313,-122.3247343
US,110,97,Bordeaux-style Red Blend,Signorello,California,38.37127037,-122.2938366
US,130,97,Cabernet Sauvignon,Spottswoode,California,38.50058173,-122.4772277
US,195,97,Cabernet Sauvignon,Stag's Leap Wine Cellars,California,38.41470807,-122.3183922
US,75,97,Cabernet Sauvignon,Stonestreet,California,38.66321899,-122.8138768
US,70,97,Pinot Noir,Talley,California,35.17945694,-120.5214585
Portugal,225,97,Port,Taylor Fladgate,Port,41.13446893,-8.612741987
Italy,240,97,Merlot,Tenuta dell'Ornellaia,Tuscany,43.04635261,11.49918565
Italy,460,97,Merlot,Tenuta dell'Ornellaia,Tuscany,43.04635261,11.49918565
Italy,200,97,Red Blend,Tenuta dell'Ornellaia,Tuscany,43.04635261,11.49918565
Italy,200,97,Red Blend,Tenuta dell'Ornellaia,Tuscany,43.04635261,11.49918565
Italy,215,97,Red Blend,Tenuta dell'Ornellaia,Tuscany,43.04635261,11.49918565
Italy,240,97,Red Blend,Tenuta dell'Ornellaia,Tuscany,43.04635261,11.49918565
Italy,190,97,Red Blend,Tenuta San Guido,Tuscany,43.23241505,10.60063566
Italy,220,97,Red Blend,Tenuta San Guido,Tuscany,43.23241505,10.60063566
Italy,227,97,Red Blend,Tenuta San Guido,Tuscany,43.23241505,10.60063566
Spain,227,97,Tinta de Toro,Teso La Monja,Northern Spain,41.45564496,-5.445155256
US,150,97,Bordeaux-style Red Blend,The Maiden,California,43.23240723,10.6005391
Australia,105,97,Shiraz,Torbreck,South Australia,-34.47631789,138.9526178
US,50,97,Cabernet Sauvignon,Trefethen,California,38.35671114,-122.3226488
Italy,350,97,Merlot,Tua Rita,Tuscany,43.06422453,10.69156402
Italy,130,97,Sangiovese,Valdicava,Tuscany,43.07698994,11.49259244
France,208,97,Champagne Blend,Veuve Clicquot Ponsardin,Champagne,48.24164583,5.118783267
Spain,150,97,Tempranillo,Vi̱edos de Paganos,Northern Spain,42.55790582,-2.605660358
Italy,130,97,Nebbiolo,Vietti,Piedmont,44.62450726,7.981125138
France,130,97,Bordeaux-style Red Blend,Vieux Ch̢teau Certan,Bordeaux,44.9271,-0.1974
US,150,97,Cabernet Sauvignon,Vine Cliff,California,38.44790421,-122.3482437
Germany,250,97,Riesling,Von Othegraven,Mosel-Saar-Ruwer,49.6710893,6.580581356
US,100,97,Red Blend,Von Strasser,California,38.58786385,-122.572344
France,95,97,Chardonnay,William F̬vre,Burgundy,47.81366047,3.803967328
US,50,97,Chardonnay,Williams Selyem,California,38.52118296,-122.8661558
US,59,97,Pinot Noir,Williams Selyem,California,38.52118296,-122.8661558
US,72,97,Pinot Noir,Williams Selyem,California,38.52118296,-122.8661558
US,75,97,Pinot Noir,Williams Selyem,California,38.52118296,-122.8661558
US,78,97,Pinot Noir,Williams Selyem,California,38.52118296,-122.8661558
US,82,97,Pinot Noir,Williams Selyem,California,38.52118296,-122.8661558
US,85,97,Pinot Noir,Williams Selyem,California,38.52118296,-122.8661558
US,95,97,Pinot Noir,Williams Selyem,California,38.52118296,-122.8661558
US,125,97,Pinot Noir,Williams Selyem,California,38.52118296,-122.8661558
US,625,97,Cabernet Sauvignon,Yao Ming,California,38.28844511,-122.2894188
